eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85120506771,10.1145/3488560.3498443,,,Learning discrete representations via constrained clustering for effective and efficient dense retrieval,cp,Conference Paper,Zhan J.,60014402;60104026;60030904,Renmin University of China;Beijing National Research Center for Information Science and Technology;Institute of Computing Technology Chinese Academy of Sciences,Beijing;Beijing;Beijing,China;China;China,6.0,"Zhan, Jingtao;Mao, Jiaxin;Liu, Yiqun;Guo, Jiafeng;Zhang, Min;Ma, Shaoping",57217163895;56125702100;35327597400;24174196100;57043667600;7403725163,60104026;60014402;60104026;60030904;60104026;60104026,2022-02-11,11 February 2022,Wsdm 2022 Proceedings of the 15th ACM International Conference on Web Search and Data Mining,,21101079204.0,,Conference Proceeding,,,,1328-1336,"Dense Retrieval (DR) has achieved state-of-the-art first-stage ranking effectiveness. However, the efficiency of most existing DR models is limited by the large memory cost of storing dense vectors and the time-consuming nearest neighbor search (NNS) in vector space. Therefore, we present RepCONC, a novel retrieval model that learns discrete Representations via CONstrained Clustering. RepCONC jointly trains dual-encoders and the Product Quantization (PQ) method to learn discrete document representations and enables fast approximate NNS with compact indexes. It models quantization as a constrained clustering process, which requires the document embeddings to be uniformly clustered around the quantization centroids and supports end-to-end optimization of the quantization method and dual-encoders. We theoretically demonstrate the importance of the uniform clustering constraint in RepCONC and derive an efficient approximate solution for constrained clustering by reducing it to an instance of the optimal transport problem. Besides constrained clustering, RepCONC further adopts a vector-based inverted file system (IVF) to support highly efficient vector search on CPUs. Extensive experiments on two popular ad-hoc retrieval benchmarks show that RepCONC achieves better ranking effectiveness than competitive vector quantization baselines under different compression ratio settings. It also substantially outperforms a wide range of existing retrieval models in terms of retrieval effectiveness, memory efficiency, and time efficiency.",Dense retrieval | Index compression | Neural ranking,56,1.0,all publisherfree2read,All Open Access Bronze,NSFC,61532011,National Natural Science Foundation of China
2-s2.0-105000502018,,,,"Learning in Markov Games with Adaptive Adversaries: Policy Regret, Fundamental Barriers, and Efficient Algorithms",cp,Conference Paper,Nguyen-Tang T.,60145911,Whiting School of Engineering,Baltimore,United States,2.0,"Nguyen-Tang, Thanh;Arora, Raman",57222873355;35092083100,60145911;60145911,2024-01-01,2024,Advances in Neural Information Processing Systems,10495258.0,23669.0,,Conference Proceeding,37,,,,"We study learning in a dynamically evolving environment modeled as a Markov game between a learner and a strategic opponent that can adapt to the learner's strategies. While most existing works in Markov games focus on external regret as the learning objective, external regret becomes inadequate when the adversaries are adaptive. In this work, we focus on policy regret - a counterfactual notion that aims to compete with the return that would have been attained if the learner had followed the best fixed sequence of policy, in hindsight. We show that if the opponent has unbounded memory or if it is non-stationary, then sample-efficient learning is not possible. For memory-bounded and stationary, we show that learning is still statistically hard if the set of feasible strategies for the learner is exponentially large. To guarantee learnability, we introduce a new notion of consistent adaptive adversaries, wherein, the adversary responds similarly to similar strategies of the learner. We provide algorithms that achieve √T policy regret against memory-bounded, stationary, and consistent adversaries.",,1,0.0,,,JHU,HR00112020004,Johns Hopkins University
2-s2.0-85148052235,,,,Learning linear non-Gaussian directed acyclic graph with diverging number of nodes,ar,Article,Zhao R.,60002798;60013983;60032744,Chinese University of Hong Kong;City University of Hong Kong;Shanghai University of Finance and Economics,Hong Kong;Hong Kong;Shanghai,Hong Kong;Hong Kong;China,3.0,"Zhao, Ruixuan;He, Xin;Wang, Junhui",57350233300;57194595481;14044437100,60013983;60032744;60002798,2022-09-01,1 September 2022,Journal of Machine Learning Research,15324435.0,20969.0,15337928.0,Journal,23,,269,,"An acyclic model, often depicted as a directed acyclic graph (DAG), has been widely employed to represent directional causal relations among collected nodes. In this article, we propose an efficient method to learn linear non-Gaussian DAG in high dimensional cases, where the noises can be of any continuous non-Gaussian distribution. The proposed method leverages the concept of topological layer to facilitate the DAG learning, and its theoretical justification in terms of exact DAG recovery is also established under mild conditions. Particularly, we show that the topological layers can be exactly reconstructed in a bottom-up fashion, and the parent-child relations among nodes can also be consistently established. The established asymptotic DAG recovery is in sharp contrast to that of many existing learning methods assuming parental faithfulness or ordered noise variances. The advantage of the proposed method is also supported by the numerical comparison against some popular competitors in various simulated examples as well as a real application on the global spread of COVID-19.",Causal inference | DAG | non-Gaussian noise | structural equation model | topological layer,6,0.0,,,,2019PJC051,
2-s2.0-85147254641,10.1613/jair.1.13734,,,Learning to Design Fair and Private Voting Rules,ar,Article,Mohsin F.,60025534;60011048,Rensselaer Polytechnic Institute;IBM Research,Troy;Yorktown Heights,United States;United States,5.0,"Mohsin, Farhad;Liu, Ao;Chen, Pin Yu;Rossi, Francesca;Xia, Lirong",57034633400;57210118926;36930105800;56066648900;23011050500,60025534;60025534;60011048;60011048;60025534,2022-01-01,2022,Journal of Artificial Intelligence Research,10769757.0,24330.0,,Journal,75,,,1139-1176,"Voting is used widely to identify a collective decision for a group of agents, based on their preferences. In this paper, we focus on evaluating and designing voting rules that support both the privacy of the voting agents and a notion of fairness over such agents. To do this, we introduce a novel notion of group fairness and adopt the existing notion of local differential privacy. We then evaluate the level of group fairness in several existing voting rules, as well as the trade-offs between fairness and privacy, showing that it is not possible to always obtain maximal economic efficiency with high fairness or high privacy levels. Then, we present both a machine learning and a constrained optimization approach to design new voting rules that are fair while maintaining a high level of economic efficiency. Finally, we empirically examine the effect of adding noise to create local differentially private voting rules and discuss the three-way trade-off between economic efficiency, fairness, and privacy.",,6,1.0,all publisherfullgold,All Open Access Gold,NSF,1453542,National Science Foundation
2-s2.0-85174424763,,,,Learning to Suggest Breaks: Sustainable Optimization of Long-Term User Engagement,cp,Conference Paper,Saig E.,60022403,Technion - Israel Institute of Technology,Haifa,Israel,2.0,"Saig, Eden;Rosenfeld, Nir",57202917888;57076232100,60022403;60022403,2023-01-01,2023,Proceedings of Machine Learning Research,,21101153015.0,26403498.0,Conference Proceeding,202,,,29671-29696,"Optimizing user engagement is a key goal for modern recommendation systems, but blindly pushing users towards increased consumption risks burn-out, churn, or even addictive habits. To promote digital well-being, most platforms now offer a service that periodically prompts users to take breaks. These, however, must be set up manually, and so may be suboptimal for both users and the system. In this paper, we study the role of breaks in recommendation, and propose a framework for learning optimal breaking policies that promote and sustain long-term engagement. Based on the notion that recommendation dynamics are susceptible to both positive and negative feedback, we cast recommendation as a Lotka-Volterra dynamical system, where breaking reduces to a problem of optimal control. We then give an efficient learning algorithm, provide theoretical guarantees, and empirically demonstrate the utility of our approach on semi-synthetic data.",,2,0.0,,,ISF,278/22,Israel Science Foundation
2-s2.0-85174426016,,,,Learning-Rate-Free Learning by D-Adaptation,cp,Conference Paper,Defazio A.,60008134;60355330,CNRS Centre National de la Recherche Scientifique;Meta Ai,Paris;Menlo Park,France;United States,2.0,"Defazio, Aaron;Mishchenko, Konstantin",6701745412;57204803503,60355330;60008134,2023-01-01,2023,Proceedings of Machine Learning Research,,21101153015.0,26403498.0,Conference Proceeding,202,,,7449-7479,"D-Adaptation is an approach to automatically setting the learning rate which asymptotically achieves the optimal rate of convergence for minimizing convex Lipschitz functions, with no back-tracking or line searches, and no additional function value or gradient evaluations per step. Our approach is the first hyper-parameter free method for this class without additional multiplicative log factors in the convergence rate. We present extensive experiments for SGD and Adam variants of our method, where the method automatically matches hand-tuned learning rates across more than a dozen diverse machine learning problems, including large-scale vision and language problems. An open-source implementation is available.",,32,0.0,,,,,
2-s2.0-85152137164,,,,Learning-augmented count-min sketches via Bayesian nonparametrics,ar,Article,Dolera E.,60012259;60015197;126723690,Università degli Studi di Torino;Università degli Studi di Pavia;Cogent Labs,Turin;Pavia;Tokyo,Italy;Italy;Japan,3.0,"Dolera, Emanuele;Favaro, Stefano;Peluchetti, Stefano",26431297700;24172349900;57219583836,60015197;60012259;126723690,2023-01-01,2023,Journal of Machine Learning Research,15324435.0,20969.0,15337928.0,Journal,24,,,,"The count-min sketch (CMS) is a time and memory efficient randomized data structure that provides estimates of tokens’ frequencies in a data stream of tokens, i.e. point queries, based on random hashed data. A learning-augmented version of the CMS, referred to as CMS-DP, has been proposed by Cai, Mitzenmacher and Adams (NeurIPS 2018), and it relies on Bayesian nonparametric (BNP) modeling of the data stream of tokens via a Dirichlet process (DP) prior, with estimates of a point query being that are obtained as mean functionals of the posterior distribution of the point query, given the hashed data. While the CMS-DP has proved to improve on some aspects of CMS, it has the major drawback of arising from a “constructive” proof that builds upon arguments that are tailored to the DP prior, namely arguments that are not usable for other nonparametric priors. In this paper, we present a “Bayesian” proof of the CMS-DP that has the main advantage of building upon arguments that are usable under the popular Pitman-Yor process (PYP) prior, which generalizes the DP prior by allowing for a more flexible tail behaviour, ranging from geometric tails to heavy power-law tails. This result leads to develop a novel learning-augmented CMS under power-law data streams, referred to as CMS-PYP, which relies on BNP modeling of the data stream of tokens via a PYP prior. Under this more general framework, we apply the arguments of the “Bayesian” proof of the CMS-DP, suitably adapted to the PYP prior, in order to compute the posterior distribution of a point query, given the hashed data. Applications to synthetic data and real textual data show that the CMS-PYP outperforms the CMS and the CMS-DP in estimating low-frequency tokens, which are known to be of critical interest in textual data, and it is competitive with respect to a variation of the CMS designed to deal with the estimation of low-frequency tokens. An extension of our BNP approach to more general queries, such as range queries, is also discussed.",Bayesian nonparametrics | count-min sketch | Dirichlet process prior | likelihood-free estimation | Pitman-Yor process prior | point query | power-law data stream | random hashing,3,0.0,,,ERC,817257,European Research Council
2-s2.0-85213838835,,,,Least Squares Model Averaging for Distributed Data,ar,Article,Zhang H.,60000937;60020256;60007807,Shenzhen University;Capital Normal University;Shenzhen Polytechnic University,Shenzhen;Beijing;Shenzhen,China;China;China,3.0,"Zhang, Haili;Liu, Zhaobo;Zou, Guohua",58280604000;57210426818;7102849277,60007807;60000937;60020256,2023-01-01,2023,Journal of Machine Learning Research,15324435.0,20969.0,15337928.0,Journal,24,,,1-59,"Divide and conquer algorithm is a common strategy applied in big data. Model averaging has the natural divide-and-conquer feature, but its theory has not been developed in big data scenarios. The goal of this paper is to fill this gap. We propose two divide-and-conquer-type model averaging estimators for linear models with distributed data. Under some regularity conditions, we show that the weights from Mallows model averaging criterion converge in L<inf>2</inf> to the theoretically optimal weights minimizing the risk of the model averaging estimator. We also give the bounds of the in-sample and out-of-sample mean squared errors and prove the asymptotic optimality for the proposed model averaging estimators. Our conclusions hold even when the dimensions and the number of candidate models are divergent. Simulation results and a real airline data analysis illustrate that the proposed model averaging methods perform better than the commonly used model selection and model averaging methods in distributed data cases. Our approaches contribute to model averaging theory in distributed data and parallel computations, and can be applied in big data analysis to save time and reduce the computational burden.",consistency | distributed data | divide and conquer algorithm | Mallows’ criterion | model averaging | optimality,5,0.0,,,SZPT,6023312034K,Shenzhen Polytechnic
2-s2.0-85189287389,10.1609/aaai.v38i3.27948,,,Leveraging Imagery Data with Spatial Point Prior for Weakly Semi-supervised 3D Object Detection,cp,Conference Paper,Gao H.,60014966;60019118,Peking University;University of Science and Technology of China,Beijing;Hefei,China;China,7.0,"Gao, Hongzhi;Chen, Zheng;Chen, Zehui;Chen, Lin;Liu, Jiaming;Zhang, Shanghang;Zhao, Feng",58967583900;57206982683;57226331687;57770581800;57200321067;57054535400;57225866170,60019118;60019118;60019118;60019118;60014966;60014966;60019118,2024-03-25,25 March 2024,Proceedings of the Aaai Conference on Artificial Intelligence,21595399.0,21101185504.0,23743468.0,Conference Proceeding,38,3.0,,1797-1805,"Training high-accuracy 3D detectors necessitates massive labeled 3D annotations with 7 degree-of-freedom, which is laborious and time-consuming. Therefore, the form of point annotations is proposed to offer significant prospects for practical applications in 3D detection, which is not only more accessible and less expensive but also provides strong spatial information for object localization. In this paper, we empirically discover that it is non-trivial to merely adapt Point-DETR to its 3D form, encountering two main bottlenecks: 1) it fails to encode strong 3D prior into the model, and 2) it generates low-quality pseudo labels in distant regions due to the extreme sparsity of LiDAR points. To overcome these challenges, we introduce Point-DETR3D, a teacher-student framework for weakly semi-supervised 3D detection, designed to fully capitalize on point-wise supervision within a constrained instance-wise annotation budget. Different from Point-DETR which encodes 3D positional information solely through a point encoder, we propose an explicit positional query initialization strategy to enhance the positional prior. Considering the low quality of pseudo labels at distant regions produced by the teacher model, we enhance the detector's perception by incorporating dense imagery data through a novel Cross-Modal Deformable RoI Fusion (D-RoI). Moreover, an innovative point-guided self-supervised learning technique is proposed to allow for fully exploiting point priors, even in student models. Extensive experiments on representative nuScenes dataset demonstrate our PointDETR3D obtains significant improvements compared to previous works. Notably, with only 5% of labeled data, PointDETR3D achieves over 90% performance of its fully supervised counterpart.",,0,1.0,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85170372986,10.24963/ijcai.2023/624,,,Levin Tree Search with Context Models,cp,Conference Paper,Orseau L.,60030835;60111161;60193824,University of Alberta;DeepMind Technologies Limited;Alberta Machine Intelligence Institute,Edmonton;London;Edmonton,Canada;United Kingdom;Canada,3.0,"Orseau, Laurent;Hutter, Marcus;Lelis, Levi H.S.",36146416600;11042473800;35812244500,60111161;60111161;60030835-60193824,2023-01-01,2023,Ijcai International Joint Conference on Artificial Intelligence,10450823.0,19400157504.0,,Conference Proceeding,2023-August,,,5622-5630,"Levin Tree Search (LTS) is a search algorithm that makes use of a policy (a probability distribution over actions) and comes with a theoretical guarantee on the number of expansions before reaching a goal node, depending on the quality of the policy. This guarantee can be used as a loss function, which we call the LTS loss, to optimize neural networks representing the policy (LTS+NN). In this work we show that the neural network can be substituted with parameterized context models originating from the online compression literature (LTS+CM). We show that the LTS loss is convex under this new model, which allows for using standard convex optimization tools, and obtain convergence guarantees to the optimal parameters in an online setting for a given set of solution trajectories - guarantees that cannot be provided for neural networks. The new LTS+CM algorithm compares favorably against LTS+NN on several benchmarks: Sokoban (Boxoban), The Witness, and the 24-Sliding Tile puzzle (STP). The difference is particularly large on STP, where LTS+NN fails to solve most of the test instances while LTS+CM solves each test instance in a fraction of a second. Furthermore, we show that LTS+CM is able to learn a policy that solves the Rubik's cube in only a few hundred expansions, which considerably improves upon previous machine learning techniques.",,2,1.0,all publisherfullgold,All Open Access Gold,NSERC,,Natural Sciences and Engineering Research Council of Canada
2-s2.0-85153675271,10.1613/JAIR.1.14565,,,Liability Regimes in the Age of AI: a Use-Case Driven Analysis of the Burden of Proof,ar,Article,Llorca D.F.,60027800;60103695,Universidad de Alcalá;European Commission Joint Research Centre,Alcala de Henares;Brussels,Spain;Belgium,5.0,"Llorca, David Fernández;Charisi, Vicky;Hamon, Ronan;Sánchez, Ignacio;Gómez, Emilia",16426189200;56766259400;57222400770;14819833800;14015483200,60103695-60027800;60103695;60103695;60103695;60103695,2023-01-01,2023,Journal of Artificial Intelligence Research,10769757.0,24330.0,,Journal,76,,,613-644,"New emerging technologies powered by Artificial Intelligence (AI) have the potential to disruptively transform our societies for the better. In particular, data-driven learning approaches (i.e., Machine Learning (ML)) have been a true revolution in the advancement of multiple technologies in various application domains. But at the same time there is growing concern about certain intrinsic characteristics of these methodologies that carry potential risks to both safety and fundamental rights. Although there are mechanisms in the adoption process to minimize these risks (e.g., safety regulations), these do not exclude the possibility of harm occurring, and if this happens, victims should be able to seek compensation. Liability regimes will therefore play a key role in ensuring basic protection for victims using or interacting with these systems. However, the same characteristics that make AI systems inherently risky, such as lack of causality, opacity, unpredictability or their self and continuous learning capabilities, may lead to considerable difficulties when it comes to proving causation. This paper presents three case studies, as well as the methodology to reach them, that illustrate these difficulties. Specifically, we address the cases of cleaning robots, delivery drones and robots in education. The outcome of the proposed analysis suggests the need to revise liability regimes to alleviate the burden of proof on victims in cases involving AI technologies.",,9,1.0,all publisherfullgold,All Open Access Gold,EC,,European Commission
2-s2.0-85167438921,10.1609/aaai.v37i4.25504,,,Lifting (D)QBF Preprocessing and Solving Techniques to (D)SSAT,cp,Conference Paper,Cheng C.,60005429,National Taiwan University,Taipei,Taiwan,2.0,"Cheng, Che;Jiang, Jie Hong R.",58529268000;55731830700,60005429;60005429,2023-06-27,27 June 2023,Proceedings of the 37th Aaai Conference on Artificial Intelligence Aaai 2023,,21101170618.0,,Conference Proceeding,37,,,3906-3914,"Dependency stochastic Boolean satisfiability (DSSAT) generalizes stochastic Boolean satisfiability (SSAT) in existential variables being Henkinized allowing their dependencies on randomized variables to be explicitly specified. It allows NEXPTIME problems of reasoning under uncertainty and partial information to be compactly encoded. To date, no decision procedure has been implemented for solving DSSAT formulas. This work provides the first such tool by converting DSSAT into SSAT with dependency elimination, similar to converting dependency quantified Boolean formula (DQBF) to quantified Boolean formula (QBF). Moreover, we extend (D)QBF preprocessing techniques and implement the first standalone (D)SSAT preprocessor. Experimental results show that solving DSSAT via dependency elimination is highly applicable and that existing SSAT solvers may benefit from preprocessing.",,5,1.0,all publisherfullgold,All Open Access Gold,NSTC,111-2221-E-002-182,National Science and Technology Council
2-s2.0-85134756824,10.24963/ijcai.2022/128,,,Lightweight Bimodal Network for Single-Image Super-Resolution via Symmetric CNN and Recursive Transformer,cp,Conference Paper,Gao G.,60002798;60009400;60028928,Chinese University of Hong Kong;Nanjing University of Post and TeleCommunications;Research Organization of Information and Systems National Institute of Informatics,Hong Kong;Nanjing;Tokyo,Hong Kong;China;Japan,6.0,"Gao, Guangwei;Wang, Zhengxue;Li, Juncheng;Li, Wenjie;Yu, Yi;Zeng, Tieyong",55352183600;57222816019;57203988667;57827135000;57193005361;25423412800,60009400-60028928;60009400;60002798;60009400;60028928;60002798,2022-01-01,2022,Ijcai International Joint Conference on Artificial Intelligence,10450823.0,19400157504.0,,Conference Proceeding,,,,913-919,"Single-image super-resolution (SISR) has achieved significant breakthroughs with the development of deep learning. However, these methods are difficult to be applied in real-world scenarios since they are inevitably accompanied by the problems of computational and memory costs caused by the complex operations. To solve this issue, we propose a Lightweight Bimodal Network (LBNet) for SISR. Specifically, an effective Symmetric CNN is designed for local feature extraction and coarse image reconstruction. Meanwhile, we propose a Recursive Transformer to fully learn the long-term dependence of images thus the global information can be fully used to further refine texture details. Studies show that the hybrid of CNN and Transformer can build a more efficient model. Extensive experiments have proved that our LBNet achieves more prominent performance than other state-of-the-art methods with a relatively low computational cost and memory consumption. The code is available at https://github.com/IVIPLab/LBNet.",,72,1.0,all publisherfree2read,All Open Access Bronze,CRF,8730063,Cancer Research Foundation
2-s2.0-105000484707,,,,Linking In-context Learning in Transformers to Human Episodic Memory,cp,Conference Paper,Ji-An L.,60030612;60021784;60121539,"University of California, San Diego;New York University;Department of Cognitive Science",La Jolla;New York;La Jolla,United States;United States;United States,4.0,"Ji-An, Li;Zhou, Corey Y.;Benna, Marcus K.;Mattar, Marcelo G.",57219788893;57215870996;57191410407;47161310500,60030612;60121539;60030612;60021784,2024-01-01,2024,Advances in Neural Information Processing Systems,10495258.0,23669.0,,Conference Proceeding,37,,,,"Understanding connections between artificial and biological intelligent systems can reveal fundamental principles of general intelligence. While many artificial intelligence models have a neuroscience counterpart, such connections are largely missing in Transformer models and the self-attention mechanism. Here, we examine the relationship between interacting attention heads and human episodic memory. We focus on induction heads, which contribute to in-context learning in Transformer-based large language models (LLMs). We demonstrate that induction heads are behaviorally, functionally, and mechanistically similar to the contextual maintenance and retrieval (CMR) model of human episodic memory. Our analyses of LLMs pre-trained on extensive text data show that CMR-like heads often emerge in the intermediate and late layers, qualitatively mirroring human memory biases. The ablation of CMR-like heads suggests their causal role in in-context learning. Our findings uncover a parallel between the computational mechanisms of LLMs and human memory, offering valuable insights into both research fields.",,3,0.0,,,NIH,R01NS125298,National Institutes of Health
2-s2.0-85137943175,10.24963/ijcai.2022/547,,,Local Differential Privacy Meets Computational Social Choice - Resilience under Voter Deletion,cp,Conference Paper,Tao L.,60003970;60005837;60021285;60029653,Zhejiang University;University of Houston;Texas Tech University;Kent State University,Hangzhou;Houston;Lubbock;Kent,China;United States;United States;United States,4.0,"Tao, Liangde;Chen, Lin;Xu, Lei;Shi, Weidong",57226330763;57190972669;57202564568;36176359500,60003970;60021285;60029653;60005837,2022-01-01,2022,Ijcai International Joint Conference on Artificial Intelligence,10450823.0,19400157504.0,,Conference Proceeding,,,,3940-3946,"The resilience of a voting system has been a central topic in computational social choice. Many voting rules, like plurality, are shown to be vulnerable as the attacker can target specific voters to manipulate the result. What if a local differential privacy (LDP) mechanism is adopted such that the true preference of a voter is never revealed in pre-election polls? In this case, the attacker can only infer stochastic information about a voter's true preference, and this may cause the manipulation of the electoral result significantly harder. The goal of this paper is to provide a quantitative study on the effect of adopting LDP mechanisms on a voting system. We introduce the metric PoLDP (power of LDP) that quantitatively measures the difference between the attacker's manipulation cost under LDP mechanisms and that without LDP mechanisms. The larger PoLDP is, the more robustness LDP mechanisms can add to a voting system. We give a full characterization of PoLDP for the voting system with plurality rule and provide general guidance towards the application of LDP mechanisms.",,2,1.0,all publisherfree2read,All Open Access Bronze,NSF,2004096,National Science Foundation
2-s2.0-85167869122,10.1609/aaai.v37i5.25737,,,Local Justice and Machine Learning: Modeling and Inferring Dynamic Ethical Preferences toward Allocations,cp,Conference Paper,Chen V.,60027950;60027392,Carnegie Mellon University;Stevens Institute of Technology,Pittsburgh;Hoboken,United States;United States,4.0,"Chen, Violet;Williams, Joshua;Leben, Derek;Heidari, Hoda",57215871720;57219630542;36192092900;56394228400,60027392;60027950;60027950;60027950,2023-06-27,27 June 2023,Proceedings of the 37th Aaai Conference on Artificial Intelligence Aaai 2023,,21101170618.0,,Conference Proceeding,37,,,5956-5964,"We consider a setting in which a social planner has to make a sequence of decisions to allocate scarce resources in a high-stakes domain. Our goal is to understand stakeholders' dynamic moral preferences toward such allocational policies. In particular, we evaluate the sensitivity of moral preferences to the history of allocations and their perceived future impact on various socially salient groups. We propose a mathematical model to capture and infer such dynamic moral preferences. We illustrate our model through small-scale human-subject experiments focused on the allocation of scarce medical resource distributions during a hypothetical viral epidemic. We observe that participants' preferences are indeed history- and impact-dependent. Additionally, our preliminary experimental results reveal intriguing patterns specific to medical resources-a topic that is particularly salient against the backdrop of the global covid-19 pandemic.",,2,1.0,all publisherfullgold,All Open Access Gold,NSF,2040929,National Science Foundation
2-s2.0-85163067037,,,,Local Linear Convergence of Douglas-Rachford for Linear Programming: a Probabilistic Analysis,cp,Conference Paper,Faust O.,60031101;60119937,University of Cambridge;Faculty of Mathematics,Cambridge;Cambridge,United Kingdom;United Kingdom,2.0,"Faust, Oisín;Fawzi, Hamza",57222047676;54912653100,60119937-60031101;60119937-60031101,2022-01-01,2022,Proceedings of Machine Learning Research,,21101153015.0,26403498.0,Conference Proceeding,162,,,6358-6372,"Douglas-Rachford splitting/ADMM (henceforth DRS) is a very popular algorithm for solving convex optimisation problems to low or moderate accuracy, and in particular for solving large-scale linear programs. Despite recent progress, obtaining highly accurate solutions to linear programs with DRS remains elusive. In this paper we analyze the local linear convergence rate r of the DRS method for random linear programs, and give explicit and tight bounds on r. We show that 1−r<sup>2</sup> is typically of the order of m<sup>−1</sup>(n−m)<sup>−1</sup>, where n is the number of variables and m is the number of constraints. This provides a quantitative explanation for the very slow convergence of DRS/ADMM on random LPs. The proof of our result relies on an established characterisation of the linear rate of convergence as the cosine of the Friedrichs angle between two subspaces associated to the problem. We also show that the cosecant of this angle can be interpreted as a condition number for the LP.",,0,0.0,,,,,
2-s2.0-85145479937,10.1609/aaai.v36i3.20255,,,Local Surface Descriptor for Geometry and Feature Preserved Mesh Denoising,cp,Conference Paper,Zhao W.,60014966;60104026;60271961;60361344,"Peking University;Beijing National Research Center for Information Science and Technology;Peng Cheng Laboratory;Faculty of Computing, Harbin Institute of Technology",Beijing;Beijing;Shenzhen;Harbin,China;China;China;China,6.0,"Zhao, Wenbo;Liu, Xianming;Jiang, Junjun;Zhao, Debin;Li, Ge;Ji, Xiangyang",57190300870;35230216700;54902306100;7403490261;59622770600;7402837796,60361344-60271961;60361344-60271961;60361344-60271961;60361344-60271961;60014966;60104026,2022-06-30,30 June 2022,Proceedings of the 36th Aaai Conference on Artificial Intelligence Aaai 2022,,21101133594.0,,Conference Proceeding,36,,,3446-3453,"3D meshes are widely employed to represent geometry structure of 3D shapes. Due to limitation of scanning sensor precision and other issues, meshes are inevitably affected by noise, which hampers the subsequent applications. Convolultional neural networks (CNNs) achieve great success in image processing tasks, including 2D image denoising, and have been proven to own the capacity of modeling complex features at different scales, which is also particularly useful for mesh denoising. However, due to the nature of irregular structure, CNNs-based denosing strategies cannot be trivially applied for meshes. To circumvent this limitation, in the paper, we propose the local surface descriptor (LSD), which is able to transform the local deformable surface around a face into 2D grid representation and thus facilitates the deployment of CNNs to generate denoised face normals. To verify the superiority of LSD, we directly feed LSD into the classical Resnet without any complicated network design. The extensive experimental results show that, compared to the state-of-the-arts, our method achieves encouraging performance with respect to both objective and subjective evaluations.",,10,1.0,all publisherfullgold,All Open Access Gold,NSFC,61922027,National Natural Science Foundation of China
2-s2.0-105018672518,,,,Localized Debiased Machine Learning: Efficient Inference on Quantile Treatment Effects and Beyond,ar,Article,Kallus N.,60122853;60104837,Tsinghua University School of Economics and Management;Cornell Tech,Beijing;New York,China;United States,3.0,"Kallus, Nathan;Mao, Xiaojie;Uehara, Masatoshi",56305894700;57206664374;57218718361,60104837;60122853;60104837,2024-01-01,2024,Journal of Machine Learning Research,15324435.0,20969.0,15337928.0,Journal,25,,,,"We consider estimating a low-dimensional parameter in an estimating equation involving high-dimensional nuisance functions that depend on the target parameter as an input. A central example is the efficient estimating equation for the (local) quantile treatment effect ((L)QTE) in causal inference, which involves the covariate-conditional cumulative distribution function evaluated at the quantile to be estimated. Existing approaches based on flexibly estimating the nuisances and plugging in the estimates, such as debiased machine learning (DML), require we learn the nuisance at all possible inputs. For (L)QTE, DML requires we learn the whole covariate-conditional cumulative distribution function. We instead propose localized debiased machine learning (LDML), which avoids this burdensome step and needs only estimate nuisances at a single initial rough guess for the target parameter. For (L)QTE, LDML involves learning just two regression functions, a standard task for machine learning methods. We prove that under lax rate conditions our estimator has the same favorable asymptotic behavior as the infeasible estimator that uses the unknown true nuisances. Thus, LDML notably enables practically-feasible and theoretically-grounded efficient estimation of important quantities in causal inference such as (L)QTEs when we must control for many covariates and/or flexible relationships, as we demonstrate in empirical studies.",Causal Inference | Conditional Value at Risk | Cross-fitting | Expectiles | Instrumental Variables | Neyman Orthogonality,11,0.0,,,NKPs,2022ZD0116700,National Key Research and Development Program of China
